"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"ARE","5665","0001","Bolman","//bkstr.scene7.com/is/image/Bkstr/9780787987992","4th","9780787987992","Reframing Organizations","Jossey-Bass, Incorporated Publishers",45,false,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780977326402","N/A","9780977326402","Good To Great & Social Sectors: Monograph t/a Good to Great","Harper Collins Publishers",13.95,false,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780977326402","N/A","9780977326402","Good To Great & Social Sectors: Monograph t/a Good to Great","Harper Collins Publishers",9.07,true,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780977326402","N/A","9780977326402","Good To Great & Social Sectors: Monograph t/a Good to Great","Harper Collins Publishers",5.58,true,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780977326402","N/A","9780977326402","Good To Great & Social Sectors: Monograph t/a Good to Great","Harper Collins Publishers",10.5,false,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780066620992","N/A","9780066620992","Good to Great","HarperTrade",32.5,false,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780066620992","N/A","9780066620992","Good to Great","HarperTrade",17.88,true,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780066620992","N/A","9780066620992","Good to Great","HarperTrade",13,true,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780066620992","N/A","9780066620992","Good to Great","HarperTrade",24.5,false,true,
"ARE","5665","0001","Pink","//bkstr.scene7.com/is/image/Bkstr/9781594481710","N/A","9781594481710","Whole New Mind","Riverhead Trade",17,false,true,
"ARE","5665","0001","Pink","//bkstr.scene7.com/is/image/Bkstr/9781594481710","N/A","9781594481710","Whole New Mind","Riverhead Trade",11.05,true,true,
"ARE","5665","0001","Pink","//bkstr.scene7.com/is/image/Bkstr/9781594481710","N/A","9781594481710","Whole New Mind","Riverhead Trade",6.8,true,true,
"ARE","5665","0001","Pink","//bkstr.scene7.com/is/image/Bkstr/9781594481710","N/A","9781594481710","Whole New Mind","Riverhead Trade",12.75,false,true,
